profile,storage,consumers,producers,run,tps,p50_ms,p95_ms,p99_ms,delivered,elapsed_s,preload,msg_size_bytes,producer_errors,consumer_errors
scan,ondisk,1,0,1,2073.39,1870.03,3633.06,3746.56,10000,4.823,10000,64,0,0
scan,ondisk,1,0,2,2202.70,1619.49,3288.07,3474.44,10000,4.540,10000,64,0,0
scan,ondisk,1,0,3,2106.23,1761.59,3517.67,3684.59,10000,4.748,10000,64,0,0
scan,ondisk,2,0,1,3297.47,947.92,1898.85,1991.36,10000,3.033,10000,64,0,0
scan,ondisk,2,0,2,3358.97,933.07,1853.89,1946.01,10000,2.977,10000,64,0,0
scan,ondisk,2,0,3,3183.54,1016.74,1982.95,2086.31,10000,3.141,10000,64,0,0
scan,ondisk,4,0,1,3520.16,924.11,1693.40,1792.73,10000,2.841,10000,64,0,0
scan,ondisk,4,0,2,3747.08,798.03,1554.94,1624.21,10000,2.669,10000,64,0,0
scan,ondisk,4,0,3,4102.49,683.51,1333.06,1393.54,10000,2.438,10000,64,0,0
scan,ondisk,8,0,1,4644.15,578.77,1064.32,1112.65,10000,2.153,10000,64,0,0
scan,ondisk,8,0,2,4687.64,603.32,1087.32,1137.39,10000,2.133,10000,64,0,0
scan,ondisk,8,0,3,4652.27,574.88,1070.68,1118.64,10000,2.149,10000,64,0,0
scan,ondisk,16,0,1,4246.18,646.18,1261.73,1326.70,10000,2.355,10000,64,0,0
scan,ondisk,16,0,2,4141.95,719.26,1304.11,1377.19,10000,2.414,10000,64,0,0
scan,ondisk,16,0,3,4277.24,706.75,1249.22,1308.99,10000,2.338,10000,64,0,0
scan,inmemory,1,0,1,1917.13,2289.46,3872.05,3986.68,10000,5.216,10000,64,0,0
scan,inmemory,1,0,2,2025.91,2299.27,3587.35,3710.51,10000,4.936,10000,64,0,0
scan,inmemory,1,0,3,1995.22,2226.21,3647.88,3763.36,10000,5.012,10000,64,0,0
scan,inmemory,2,0,1,3072.98,1303.75,1964.57,2036.02,10000,3.254,10000,64,0,0
scan,inmemory,2,0,2,3054.49,1334.30,1974.79,2043.31,10000,3.274,10000,64,0,0
scan,inmemory,2,0,3,3062.94,1348.06,1986.98,2048.25,10000,3.265,10000,64,0,0
scan,inmemory,4,0,1,3076.83,1349.46,1956.23,2026.07,10000,3.250,10000,64,0,0
scan,inmemory,4,0,2,3211.20,1271.08,1825.19,1884.75,10000,3.114,10000,64,0,0
scan,inmemory,4,0,3,3215.47,1274.99,1833.74,1884.50,10000,3.110,10000,64,0,0
scan,inmemory,8,0,1,3138.16,1363.68,1923.35,1975.78,10000,3.187,10000,64,0,0
scan,inmemory,8,0,2,3031.48,1305.57,2013.36,2073.87,10000,3.299,10000,64,0,0
scan,inmemory,8,0,3,3120.73,1316.74,1920.21,1971.32,10000,3.204,10000,64,0,0
scan,inmemory,16,0,1,2944.29,1501.02,2123.55,2180.13,10000,3.396,10000,64,0,0
scan,inmemory,16,0,2,3017.77,1398.90,2050.58,2103.15,10000,3.314,10000,64,0,0
scan,inmemory,16,0,3,3092.95,1390.72,1957.29,2013.73,10000,3.233,10000,64,0,0
