profile,storage,consumers,producers,run,tps,p50_ms,p95_ms,p99_ms,delivered,elapsed_s,preload,msg_size_bytes,producer_errors,consumer_errors
scan,ondisk,1,0,1,242.86,25558.95,38709.46,39920.88,10000,41.176,10000,64,0,0
scan,ondisk,1,0,2,318.54,15541.76,28991.70,30099.69,10000,31.393,10000,64,0,0
scan,ondisk,1,0,3,322.55,15279.99,28524.96,29710.92,10000,31.003,10000,64,0,0
scan,ondisk,2,0,1,549.28,8534.88,16337.87,17008.39,10000,18.206,10000,64,0,0
scan,ondisk,2,0,2,544.47,8847.98,16428.61,17128.31,10000,18.366,10000,64,0,0
scan,ondisk,2,0,3,569.49,8267.81,15651.83,16344.59,10000,17.560,10000,64,0,0
scan,ondisk,4,0,1,888.17,5265.84,9709.52,10169.92,10000,11.259,10000,64,0,0
scan,ondisk,4,0,2,870.16,5666.38,9987.94,10389.88,10000,11.492,10000,64,0,0
scan,ondisk,4,0,3,892.65,5541.70,9725.01,10135.29,10000,11.203,10000,64,0,0
scan,ondisk,8,0,1,1385.08,3437.69,5928.40,6171.13,10000,7.220,10000,64,0,0
scan,ondisk,8,0,2,1281.66,3712.13,6528.68,6769.39,10000,7.802,10000,64,0,0
scan,ondisk,8,0,3,1307.44,3547.04,6315.53,6610.73,10000,7.649,10000,64,0,0
scan,ondisk,16,0,1,1560.78,2625.49,5124.73,5352.18,10000,6.407,10000,64,0,0
scan,ondisk,16,0,2,1628.21,2845.49,4837.88,5028.11,10000,6.142,10000,64,0,0
scan,ondisk,16,0,3,1655.28,3093.42,5119.62,5311.07,10000,6.041,10000,64,0,0
scan,inmemory,1,0,1,249.30,20671.00,37007.42,38559.98,10000,40.112,10000,64,0,0
scan,inmemory,1,0,2,262.88,20799.16,35362.92,36582.54,10000,38.041,10000,64,0,0
scan,inmemory,1,0,3,299.99,17280.07,30651.65,31892.32,10000,33.335,10000,64,0,0
scan,inmemory,2,0,1,473.56,11006.51,19018.41,19721.48,10000,21.117,10000,64,0,0
scan,inmemory,2,0,2,539.57,9435.05,16610.74,17234.85,10000,18.533,10000,64,0,0
scan,inmemory,2,0,3,558.52,9330.93,15562.09,16257.79,10000,17.904,10000,64,0,0
scan,inmemory,4,0,1,766.37,7593.02,11410.41,11805.21,10000,13.048,10000,64,0,0
scan,inmemory,4,0,2,756.10,7302.52,11430.03,11897.31,10000,13.226,10000,64,0,0
scan,inmemory,4,0,3,745.40,7453.12,11721.96,12129.56,10000,13.416,10000,64,0,0
scan,inmemory,8,0,1,555.01,9931.50,15984.54,16711.18,10000,18.018,10000,64,0,0
scan,inmemory,8,0,2,477.96,10629.65,18719.85,19472.66,10000,20.922,10000,64,0,0
scan,inmemory,8,0,3,514.66,10310.51,17662.28,18174.21,10000,19.430,10000,64,0,0
scan,inmemory,16,0,1,462.97,13591.59,20045.32,20359.37,10000,21.600,10000,64,0,0
scan,inmemory,16,0,2,457.33,12667.29,20205.12,20616.62,10000,21.866,10000,64,0,0
