profile,storage,consumers,producers,run,tps,p50_ms,p95_ms,p99_ms,delivered,elapsed_s,preload,msg_size_bytes,producer_errors,consumer_errors
scan,ondisk,1,0,1,321.25,15517.06,28705.41,29842.34,10000,31.129,10000,64,0,0
scan,ondisk,1,0,2,326.85,14894.92,28127.34,29272.84,10000,30.596,10000,64,0,0
scan,ondisk,1,0,3,317.81,14975.85,28942.10,30173.56,10000,31.465,10000,64,0,0
scan,ondisk,2,0,1,509.80,9674.84,17750.11,18469.90,10000,19.616,10000,64,0,0
scan,ondisk,2,0,2,513.15,9458.83,17607.78,18348.01,10000,19.487,10000,64,0,0
scan,ondisk,2,0,3,531.06,8969.43,17017.71,17698.26,10000,18.830,10000,64,0,0
scan,ondisk,4,0,1,867.03,5374.05,10045.24,10449.61,10000,11.534,10000,64,0,0
scan,ondisk,4,0,2,848.56,5386.55,10134.02,10646.80,10000,11.785,10000,64,0,0
scan,ondisk,4,0,3,864.09,5592.90,10005.31,10473.83,10000,11.573,10000,64,0,0
scan,ondisk,8,0,1,1230.24,3435.33,6331.68,6624.38,10000,8.128,10000,64,0,0
scan,ondisk,8,0,2,1371.72,3348.98,5941.43,6210.11,10000,7.290,10000,64,0,0
scan,ondisk,8,0,3,1383.92,3558.45,5962.54,6180.45,10000,7.226,10000,64,0,0
scan,ondisk,16,0,1,1577.16,2911.08,5006.98,5305.93,10000,6.341,10000,64,0,0
scan,ondisk,16,0,2,1623.51,2700.33,4879.79,5111.42,10000,6.159,10000,64,0,0
scan,ondisk,16,0,3,1709.18,2698.23,4500.24,4775.32,10000,5.851,10000,64,0,0
scan,inmemory,1,0,1,290.77,18054.31,31778.22,32972.44,10000,34.392,10000,64,0,0
scan,inmemory,1,0,2,287.50,17950.70,32215.71,33343.02,10000,34.783,10000,64,0,0
scan,inmemory,1,0,3,299.92,17608.29,30837.61,31917.76,10000,33.342,10000,64,0,0
scan,inmemory,2,0,1,494.56,11293.92,18339.56,18921.07,10000,20.220,10000,64,0,0
scan,inmemory,2,0,2,503.26,11102.71,17880.54,18554.50,10000,19.871,10000,64,0,0
scan,inmemory,2,0,3,523.72,9859.92,17086.96,17772.35,10000,19.094,10000,64,0,0
scan,inmemory,4,0,1,803.26,7158.48,10747.37,11193.52,10000,12.449,10000,64,0,0
scan,inmemory,4,0,2,801.89,7061.45,10905.27,11256.53,10000,12.471,10000,64,0,0
scan,inmemory,4,0,3,800.85,7370.65,10978.97,11335.98,10000,12.487,10000,64,0,0
scan,inmemory,8,0,1,768.72,7617.62,11401.72,11734.70,10000,13.009,10000,64,0,0
scan,inmemory,8,0,2,750.78,8251.48,11774.82,12125.96,10000,13.319,10000,64,0,0
scan,inmemory,8,0,3,795.04,7610.75,11002.25,11364.06,10000,12.578,10000,64,0,0
scan,inmemory,16,0,1,752.37,7548.21,11566.20,11870.57,10000,13.291,10000,64,0,0
scan,inmemory,16,0,2,793.41,6817.70,11035.69,11375.75,10000,12.604,10000,64,0,0
scan,inmemory,16,0,3,811.73,7043.90,10723.92,11030.24,10000,12.319,10000,64,0,0
